2023-12-21,11421914
2023-12-22,8892459
2023-12-23,22689340
2023-12-24,20021749
2023-12-25,9202528
2023-12-26,8123677
2023-12-27,43669124
2023-12-28,6023969
2023-12-29,18729777
2023-12-30,15076008
2023-12-31,9063660
2024-01-01,19207003
2024-01-02,1956197
2024-01-03,1903562
2024-01-04,5998832
2024-01-05,9978746
2024-01-06,12484935
2024-01-07,2617241
2024-01-08,23476098
2024-01-09,16212589
2024-01-10,23896678
2024-01-11,23910157
2024-01-13,15997441
2024-01-14,4841948
2024-01-15,16955168
2024-01-16,3118964
2024-01-17,13778045
2024-01-18,27738168
2024-01-19,18179457
2024-01-20,26744614
2024-01-21,22210711
2024-01-22,19408938
2024-01-23,33755728
2024-01-24,17580327
2024-01-25,15157185
2024-01-26,76440946
2024-01-27,16020258
2024-01-28,24652298
2024-01-29,12371256
2024-01-30,18769520
2024-01-31,11721593
2024-02-01,28636117
2024-02-02,11005945
2024-02-03,6434503
2024-02-04,9512423
2024-02-05,27580065
2024-02-06,16366308
2024-02-07,20295167
2024-02-08,31799707
2024-02-09,14170530
2024-02-10,21697064
2024-02-11,31062300
2024-02-12,16125209
2024-02-13,20800839
2024-02-14,15483880
2024-02-15,14113156
2024-02-16,17186571
2024-02-17,14962952
2024-02-18,5582527
2024-02-19,19754353
2024-02-20,18570211
2024-02-21,11112704
2024-02-22,26261050
2024-02-23,13943717
2024-02-24,21542926
2024-02-25,2335270
2024-02-26,564997
2024-02-27,27666785
2024-02-28,9625600
2024-02-29,29566262
2024-03-01,23397837
2024-03-02,10840203
2024-03-04,30165746
2024-03-05,13242164
2024-03-06,25970622
2024-03-07,28980824
2024-03-08,26380289
2024-03-09,14431051
2024-03-11,17830879
2024-03-12,17224811
2024-03-13,19570158
2024-03-14,34162553
2024-03-15,16115743
2024-03-16,14030640
2024-03-17,25077899
2024-03-18,22794265
2024-03-19,30772232
2024-03-20,27402987
2024-03-21,25838956
2024-03-22,21949519
2024-03-23,17084585
2024-03-24,5862955
2024-03-25,7241798
2024-03-26,45176684
2024-03-27,2329368
2024-03-28,2534948
2024-03-29,13605240
2024-03-30,4698551
2024-03-31,26593973
2024-04-01,21659165
2024-04-02,30522825
2024-04-03,21176198
2024-04-04,21711740
2024-04-05,18780445
2024-04-06,10809741
2024-04-07,2912383
2024-04-08,24687974
2024-04-09,13401899
2024-04-10,23519151
2024-04-11,31253523
2024-04-12,19934673
2024-04-13,16155206
2024-04-14,17283055
2024-04-15,13916269
2024-04-16,28642647
2024-04-17,22025445
2024-04-18,33112493
2024-04-19,9342819
2024-04-20,19987983
2024-04-21,17829008
2024-04-22,27132966
2024-04-23,6585506
2024-04-24,23259646
2024-04-25,18504815
2024-04-26,3461255
2024-04-27,11093008
2024-04-28,34950107
2024-04-29,15299093
2024-04-30,30584658
2024-05-01,18322225
2024-05-02,52856596
2024-05-03,32336844
2024-05-04,12618652
2024-05-05,27021818
2024-05-06,23366052
2024-05-07,20009081
2024-05-08,23891226
2024-05-09,15882461
2024-05-10,15764829
2024-05-11,13595951
